problem,group,user,logs,units,annotation,unit branch,session branch,Parallel Coordinate Plot,Scatter Plot,Scatterplot Matrix,Accuracy,restore,time,session_name,confidence,project_name
Problem 1,E,S3,45,3,1,0,0,1,1,1,1,0,0:02:22,Problem1,7,experiment
Problem 1,E,S4,20,1,1,0,0,0,1,0,1,0,0:00:51,Problem1,7,experiment
Problem 1,E,S5,255,4,1,0,0,2,2,0,1,0,0:06:01,problem1,5,experiment
Problem 1,E,S6,348,4,1,0,0,1,2,1,1,0,0:16:07,Problem1,6,experiment
Problem 1,E,S7,166,3,1,0,0,1,2,0,1,0,0:07:49,PROBLEM1,7,EXPERIMENT
Problem 1,E,S8,47,3,1,0,0,1,1,1,1,0,0:01:45,Problem1,7,experiment
Problem 1,E,S9,234,2,1,0,0,1,1,0,1,0,0:06:34,Problem1,3,experiment
Problem 1,E,S10,338,7,4,0,0,1,5,1,1,0,0:09:01,Problem1,4,experiment
Problem 1,E,S11,49,2,1,0,0,1,0,1,1,0,0:01:20,problem1,5,expreriment
Problem 1,E,S12,338,4,1,0,0,1,2,1,0,0,0:08:49,Problem1,5,experiment
Problem 1,E,S13,74,2,2,0,0,1,0,1,1,0,0:02:30,Problem1,5,experiment
Problem 1,E,S14,44,2,1,0,0,1,1,0,1,0,0:01:41,Problem1,6,experiment
Problem 1,D,S15,47,3,1,0,0,1,1,1,1,1,0:02:15,Problem1,6,experiment
Problem 1,E,S16,195,3,2,0,0,1,1,1,1,0,0:08:02,Problem 1,7,experiment
Problem 1,E,S18,109,3,1,0,0,1,1,1,0,0,0:07:39,Problem1,6,experiment
Problem 1,E,S19,72,2,1,0,0,1,0,1,1,0,0:03:47,Problem1,7,experiment
Problem 1,B,S20,161,4,1,1,0,1,2,1,1,0,0:09:26,Problem1,4,experiment
Problem 1,E,S21,132,2,1,0,0,0,2,0,1,0,0:03:03,Problem1,5,experiment
Problem 1,E,S22,100,3,1,0,0,2,1,0,1,0,0:06:16,Problem1,3,experiment
Problem 1,E,S23,53,2,1,0,0,1,0,1,1,0,0:02:56,Problem1,7,experiment
Problem 1,E,S24,92,3,1,0,0,1,1,1,1,0,0:09:03,Problem 1,5,experiment
Problem 1,B,S25,359,3,1,1,0,1,2,0,1,0,0:08:19,Problem1,5,experiment
Problem 1,E,S26,44,2,1,0,0,0,1,1,1,0,0:01:50,Problem1,6,experiment
Problem 1,E,S27,62,2,1,0,0,1,0,1,1,0,0:02:34,Problem1,7,experiment
Problem 1,E,S28,66,2,1,0,0,0,1,1,1,0,0:08:22,problem1,6,experiment
Problem 1,E,S29,75,2,1,0,0,1,0,1,1,0,0:03:47,Problem1,7,experiment
