problem,group,user,logs,units,annotation,unit branch,session branch,Parallel Coordinate Plot,Scatter Plot,Scatterplot Matrix,Accuracy,restore,time,session_name,confidence,project_name
Problem 4,B,S3,405,10,1,4,0,8,1,1,1,0,0:17:37,Problem4,7,experiment
Problem 4,E,S4,272,3,5,0,0,1,1,1,0,0,0:14:37,Problem4,6,experiment
Problem 4,E,S5,154,5,1,0,0,2,3,0,1,0,0:09:50,problem4,6,experiment
Problem 4,E,S6,104,3,1,0,0,1,0,2,0,0,0:06:35,Problem4,7,experiment
Problem 4,B,S7,188,7,14,5,0,6,0,1,0,0,0:13:57,problem4,7,EXPERIMENT
Problem 4,E,S8,392,3,8,0,0,1,0,2,0,0,0:09:02,Problem4,7,experiment
Problem 4,C,S9,25,1,1,0,1,1,0,0,0,0,0:02:35,Problem 4,6,experiment
Problem 4,B,S10,70,3,4,2,0,3,0,0,1,0,0:09:11,Problem4,6,experiment
Problem 4,E,S11,73,1,5,0,0,1,0,0,1,0,0:06:00,Problem 4,7,expreriment
Problem 4,B,S12,787,10,1,1,0,7,0,3,1,0,0:12:38,Problem4,7,experiment
Problem 4,E,S13,140,6,7,0,0,6,0,0,1,0,0:10:24,Problem4,7,experiment
Problem 4,D,S14,118,2,1,0,0,1,1,0,0,21,0:05:10,Problem4,7,experiment
Problem 4,D,S15,221,5,1,0,0,2,1,2,0,23,0:08:14,Problem4,4,experiment
Problem 4,B,S16,360,14,3,12,0,14,0,0,1,0,0:15:30,Problem 4,7,experiment
Problem 4,B,S18,478,4,11,2,0,4,0,0,1,0,0:18:39,Problem4,7,experiment
Problem 4,C,S19,463,4,3,3,1,4,0,0,1,0,0:08:11,Problem4,6,experiment
Problem 4,B,S20,234,5,7,3,0,4,0,1,1,0,0:15:56,Problem4,6,experiment
Problem 4,B,S21,271,10,9,5,0,9,1,0,1,0,0:13:32,Problem4,5,experiment
Problem 4,E,S22,80,2,1,0,0,1,1,0,1,0,0:06:11,Problem4,7,experiment
Problem 4,C,S23,116,10,6,6,1,7,1,2,1,0,0:30:42,Problem4,7,experiment
Problem 4,C,S24,1164,2,8,0,1,2,0,0,0,0,0:10:38,Problem 4,7,experiment
Problem 4,E,S25,40,1,7,0,0,1,0,0,1,0,0:01:43,Problem4,6,experiment
Problem 4,C,S26,115,3,11,0,1,1,1,1,1,0,0:08:39,Problem4,6,experiment
Problem 4,E,S27,265,1,1,0,0,1,0,0,1,0,0:03:51,Problem4,7,experiment
Problem 4,B,S28,135,7,1,6,0,7,0,0,1,0,0:07:42,problem4,6,experiment
Problem 4,E,S29,56,3,1,0,0,1,0,2,1,0,0:05:03,Problem4,7,experiment
Problem 4,C,S30,218,3,1,0,1,2,0,1,1,0,0:07:07,Problem4,5,Experiment
Problem 4,E,S31,263,2,2,0,0,1,0,1,1,0,0:05:45,PROBLEM4,7,EXPERIMENT
Problem 4,C,S32,28,1,1,0,1,1,0,0,1,0,0:03:25,PROBLEM 4,5,EXPERIMENT
Problem 4,E,S33,267,12,7,0,0,11,0,1,1,0,0:12:15,Problem4,5,experiment
Problem 4,B,S34,141,6,1,1,0,5,0,1,1,0,0:09:02,Problem4,3,experiment
Problem 4,B,S36,149,9,11,7,0,9,0,0,1,0,0:12:17,Problem4,6,experiment
Problem 4,E,S37,47,1,1,0,0,1,0,0,1,0,0:03:49,PROBLEM4,7,EXPERIMENT
Problem 4,B,A1,310,9,1,2,0,8,0,2,1,0,0:11:46,Problem 4,,experiment
Problem 4,A,A2,61,1,1,0,0,0,0,1,0,0,0:02:49,Problem 4,,experiment
Problem 4,A,A3,263,2,6,0,0,1,0,1,0,0,0:09:31,Problem 4,,experiment
Problem 4,A,A4,118,1,5,0,0,1,0,0,1,0,0:05:37,Problem 4,,experiment
Problem 4,A,A5,351,4,4,0,0,2,0,3,0,0,0:08:10,Problem4,,experiment
Problem 4,E,A6,114,1,4,0,0,1,0,0,1,0,0:04:38,Problem 4,,experiment
