problem,group,user,logs,units,annotation,unit branch,session branch,Parallel Coordinate Plot,Scatter Plot,Scatterplot Matrix,Accuracy,restore,time,session_name,confidence,project_name
Problem 2,E,S3,116,2,1,0,0,1,1,0,0,0,0:04:59,Problem2,7,experiment
Problem 2,E,S4,403,2,1,0,0,1,1,0,1,0,0:07:04,Problem2,5,experiment
Problem 2,E,S5,287,2,2,0,0,1,1,0,0,0,0:04:40,problem2,6,experiment
Problem 2,E,S6,618,3,3,0,0,1,1,1,1,0,0:13:38,Problem2,4,experiment
Problem 2,E,S7,40,2,1,0,0,1,1,0,1,0,0:02:36,problem2,7,EXPERIMENT
Problem 2,E,S8,61,3,1,0,0,1,1,1,0,0,0:02:13,Problem2,7,experiment
Problem 2,E,S9,135,1,1,0,0,1,0,0,0,0,0:04:23,Problem 2,4,experiment
Problem 2,E,S10,33,2,1,0,0,1,1,0,0,0,0:02:19,Problem2,4,experiment
Problem 2,D,S11,271,4,1,1,1,2,1,1,1,5,0:09:09,Problem2,5,expreriment
Problem 2,B,S12,100,2,1,1,0,1,1,0,0,0,0:07:12,Problem2,6,experiment
Problem 2,E,S13,28,1,1,0,0,0,0,1,0,0,0:01:55,Problem2,7,experiment
Problem 2,C,S14,84,2,1,0,1,1,1,0,1,0,0:01:13,Problem2,7,experiment
Problem 2,E,S15,96,2,1,0,0,1,1,0,1,0,0:03:44,Problem2,5,experiment
Problem 2,E,S16,105,3,1,0,0,1,2,0,1,0,0:02:32,Problem 2,7,experiment
Problem 2,C,S18,362,6,1,0,1,1,4,1,0,0,0:09:47,Problem2,5,experiment
Problem 2,E,S19,78,3,1,0,0,1,1,1,0,0,0:03:47,Problem2,6,experiment
Problem 2,E,S20,42,2,1,0,0,1,1,0,1,0,0:03:50,Problem2,6,experiment
Problem 2,E,S21,128,3,1,0,0,2,1,0,0,0,0:04:13,Problem2,6,experiment
Problem 2,E,S22,93,4,1,0,0,1,2,1,1,0,0:09:43,Problem2,6,experiment
Problem 2,C,S23,32,3,1,0,1,1,1,1,0,0,0:02:04,Problem2,7,experiment
Problem 2,E,S24,652,3,1,0,0,1,2,0,1,0,0:06:40,Problem2,6,experiment
Problem 2,E,S25,43,2,1,0,0,1,1,0,0,0,0:02:19,Problem2,6,experiment
Problem 2,E,S26,44,2,1,0,0,1,1,0,1,0,0:01:59,Problem2,5,experiment
Problem 2,E,S27,221,1,1,0,0,1,0,0,0,0,0:03:15,Problem2,7,experiment
Problem 2,B,S28,71,2,1,1,0,2,0,0,0,0,0:05:54,problem1,5,experiment
Problem 2,E,S29,93,2,1,0,0,1,0,1,1,0,0:03:57,Problem2,7,experiment
Problem 2,C,S30,237,7,1,0,1,4,3,0,1,0,0:06:37,Problem2,7,Experiment
Problem 2,E,S31,85,3,1,0,0,1,1,1,1,0,0:03:47,PROBLEM2,7,EXPERIMENT
Problem 2,E,S32,66,1,1,0,0,1,0,0,1,0,0:02:01,PROBLEM 2,6,EXPERIMENT
Problem 2,E,S33,38,2,1,0,0,1,1,0,1,0,0:01:33,Problem2,6,experiment
Problem 2,B,S34,77,4,1,1,0,2,1,1,1,0,0:06:28,Problem2,4,experiment
Problem 2,E,S36,137,3,1,0,0,1,2,0,1,0,0:11:00,Problem2,6,experiment
Problem 2,E,S37,59,1,1,0,0,1,0,0,0,0,0:05:00,PROBLEM2,7,EXPERIMENT
Problem 2,E,A1,102,1,1,0,0,1,0,0,0,0,0:03:55,Problem 2,,experiment
Problem 2,A,A2,122,3,1,0,0,1,1,1,1,0,0:06:34,Problem 2,,experiment
Problem 2,A,A3,47,4,1,0,0,1,1,2,0,0,0:01:51,Problem 2,,experiment
Problem 2,A,A4,118,4,1,0,0,1,2,1,1,0,0:03:58,Problem 2,,experiment
Problem 2,A,A5,74,2,1,0,0,0,1,1,0,0,0:01:47,Problem2,,experiment
Problem 2,B,A6,82,4,1,1,0,3,1,2,1,0,0:06:02,Problem 2,,experiment
Problem 2,A,A7,450,2,1,0,0,1,1,0,0,0,0:05:49,Problem 2,,experiment
Problem 2,A,A8,71,3,1,0,0,1,1,1,0,0,0:00:38,Problem2,,experiment
