problem,group,user,logs,units,annotation,unit branch,session branch,Parallel Coordinate Plot,Scatter Plot,Scatterplot Matrix,Accuracy,restore,time,ses_name,proj_name
Problem 2,A,A15,287,2,1,0,0,1,1,0,0,0,0:06:19,problem 2,experiment
Problem 3,A,A15,351,1,2,0,0,1,0,0,1,0,0:01:21,problem 3,experiment
Problem 4,A,A15,312,3,1,0,0,1,0,2,0,0,0:18:38,problem 4,experiment
Problem 5,A,A15,131,3,2,0,0,4,0,5,0,0,0:13:44,problem 5,experiment
Problem 1,A,A16,73,3,1,0,0,1,1,1,1,0,0:02:28,Problem 1,experiment
Problem 2,A,A16,32,2,1,0,0,0,2,0,0,0,0:01:08,Problem 2,experiment
Problem 3,A,A16,96,1,1,0,0,1,0,0,0,0,0:03:07,Problem 3,experiment
Problem 4,A,A16,272,4,1,0,0,4,0,0,0,0,0:05:35,Problem 4,experiment
Problem 5,A,A16,81,2,1,0,0,1,0,1,0,0,0:02:52,Problem 5,experiment
Problem 1,A,A18,111,1,1,0,0,1,0,0,1,0,0:03:30,problem 1,experiment
Problem 2,A,A18,92,5,1,0,0,3,1,1,0,0,0:03:16,problem 2,experiment
Problem 3,A,A18,151,1,1,0,0,0,1,0,1,0,0:03:11,problem 3,experiment
Problem 4,A,A18,336,5,1,0,0,1,3,1,0,0,0:07:44,problem 4,experiment
Problem 5,A,A18,60,1,1,0,0,1,0,0,0,0,0:01:21,problem 5,experiment
Problem 1,A,A19,25,2,1,0,0,0,2,0,1,0,0:01:35,Problem 1,experiment
Problem 2,A,A19,25,2,1,0,0,0,2,0,0,0,0:01:12,Problem 2,experiment
Problem 3,A,A19,23,1,1,0,0,0,1,0,0,0,0:01:20,Problem 3 ,experiment
Problem 4,A,A19,60,6,1,0,0,1,4,1,1,0,0:04:18,Problem 4 ,experiment
Problem 5,A,A19,46,2,1,0,0,1,1,0,1,0,0:03:48,Problem 5,experiment
Problem 1,A,A20,13,1,1,0,0,0,1,0,1,0,0:01:18,Problem 1,experiment
Problem 2,A,A20,17,1,1,0,0,0,0,1,1,0,0:02:38,Problem 2,experiment
Problem 3,A,A20,130,1,1,0,0,1,0,0,1,0,0:06:50,Problem 3,experiment
Problem 4,A,A20,290,4,9,0,0,4,0,1,0,0,0:13:30,Problem 4,experiment
Problem 5,A,A20,15,1,1,0,0,1,0,0,0,0,0:02:23,Problem 5,experiment
Problem 1,B,A21,220,10,7,1,0,7,6,1,1,0,0:06:05,problem 1,experiment
Problem 2,E,A21,107,5,2,0,0,3,2,1,1,0,0:03:52,problem 2,experiment
Problem 3,E,A21,96,2,2,0,0,2,0,0,1,0,0:04:11,problem 3,experiment
Problem 4,E,A21,105,2,7,0,0,1,1,0,1,0,0:07:26,problem 4,experiment
Problem 5,E,A21,104,2,1,0,0,1,5,0,1,0,0:01:49,problem 5,experiment
Problem 1,A,A22,31,3,1,0,0,1,1,1,1,0,0:01:58,problem 1,experiment
Problem 2,A,A22,259,3,1,0,0,1,1,1,1,0,0:04:21,problem 2,experiment
Problem 3,A,A22,38,1,1,0,0,1,0,0,0,0,0:02:21,problem 3,experiment
Problem 4,A,A22,87,6,1,0,0,6,0,0,1,0,0:06:50,problem 4,experiment
Problem 5,A,A22,43,5,1,0,0,5,0,0,1,0,0:01:56,problem 5,experiment
Problem 1,B,B4,28,3,1,1,0,1,2,0,1,0,0:02:11,Problem 1,Experiment
Problem 2,E,B4,222,3,1,0,0,1,1,1,1,0,0:06:09,Problem 2,Experiment
Problem 3,E,B4,130,4,1,0,0,3,2,0,1,0,0:06:17,Problem 3,Experiment
Problem 4,E,B4,205,5,2,0,0,3,2,1,1,0,0:08:06,Problem 4,Experiment
Problem 5,B,B4,391,6,1,3,0,6,0,0,1,0,0:10:22,Problem 5,Experiment
Problem 1,E,B12,69,5,1,0,0,3,2,1,1,0,0:03:31,problem 1,experiment
Problem 2,E,B12,51,3,1,0,0,2,1,1,1,0,0:03:23,problem 2,experiment
Problem 3,E,B12,16,1,1,0,0,1,0,0,1,0,0:01:06,problem 3,experiment
Problem 4,E,B12,40,3,1,0,0,2,0,1,1,0,0:05:12,problem 4,experiment
Problem 5,E,B12,17,1,1,0,0,1,0,0,1,0,0:01:30,problem 5,experiment
Problem 1,E,B13,34,1,1,0,0,1,0,0,1,0,0:02:32,problem1,experiment
Problem 2,E,B13,485,2,4,0,0,2,0,0,1,0,0:14:51,Problem 2,experiment
Problem 3,E,B13,15,1,1,0,0,1,0,0,0,0,0:00:42,Problem 3,experiment
Problem 4,E,B13,44,1,2,0,0,1,0,0,0,0,0:01:40,Problem4,experiment
Problem 5,B,B13,396,10,3,1,0,8,8,1,1,0,0:19:01,Problem5,experiment
Problem 1,E,B14,54,4,1,0,0,1,2,1,1,0,0:03:19,Problem 1,experiment
Problem 2,B,B14,83,4,1,1,0,1,3,0,0,0,0:04:03,Problem 2,experiment
Problem 3,E,B14,114,3,4,0,0,3,0,0,1,0,0:06:34,Problem 3,experiment
