problem,group,user,logs,units,annotation,unit branch,session branch,Parallel Coordinate Plot,Scatter Plot,Scatterplot Matrix,Accuracy,restore,time,session_name,confidence,project_name
Problem 5,C,B22,82,4,1,0,1,4,0,0,0,0,0:04:38,Problem  5,,experiment
Problem 5,E,B23,67,2,4,0,0,1,0,1,1,0,0:10:16,Problem 5,,experiment
Problem 5,E,B24,16,1,1,0,0,1,0,0,1,0,0:03:25,problem 5,,experiment
Problem 5,E,B26,37,1,1,0,0,1,0,0,0,0,0:06:55,problem 5,,experiment
Problem 5,C,B27,45,10,1,2,1,5,3,2,1,0,0:03:28,Problem 5,,experiment
Problem 5,E,B28,9,1,1,0,0,1,0,0,0,0,0:00:58,Problem 5,,experiment
Problem 5,E,B29,50,1,1,0,0,1,0,0,1,0,0:01:05,Problem5,,experiment
Problem 5,B,B31,54,6,1,4,0,5,1,0,0,0,0:03:43,Problem 5,,experiment
Problem 5,E,B32,95,1,1,0,0,1,0,0,1,0,0:01:43,problem 5,,experiment
Problem 5,E,B33,17,1,1,0,0,1,0,0,1,0,0:02:10,Problem 5,,Experiment
Problem 5,E,B34,13,1,1,0,0,1,0,0,1,0,0:01:54,problem 5,,experiment
Problem 5,B,B35,87,6,1,5,0,6,0,0,1,0,0:03:55,Problem 5,,experiment
Problem 5,C,B36,48,7,1,3,1,7,0,0,0,0,0:02:42,Problem 5 (2),,experiment
Problem 5,E,B37,48,1,1,0,0,1,0,0,0,0,0:02:13,Problem5,,experiment
Problem 5,E,B39,37,1,1,0,0,1,0,0,1,0,0:02:56,Problem 5,,experiment
Problem 5,E,B40,22,1,2,0,0,1,0,0,1,0,0:00:34,Problem 5,,experiment
Problem 5,D,B41,62,6,4,3,1,5,1,1,1,6,0:01:08,Problem 5,,experiment
Problem 5,C,B42,30,2,1,0,1,1,1,0,1,0,0:02:00,Problem 5,,Experiment
Problem 5,E,B43,44,4,1,0,0,4,0,0,0,0,0:01:57,Problem 5,,experiment
Problem 5,E,B44,67,7,1,0,0,5,0,2,0,0,0:02:46,problem 5,,experiment
Problem 5,E,B45,17,1,1,0,0,1,0,0,1,0,0:01:00,Problem 5,,experiment
Problem 5,E,B46,82,6,1,0,0,4,0,3,1,0,0:06:25,problem 5,,experiment
Problem 5,E,B48,90,1,3,0,0,5,0,0,0,0,0:02:12,Problem 5,,experiment
Problem 5,B,B49,40,6,1,5,0,6,0,0,0,0,0:02:36,Problem 5,,experiment
Problem 5,A,S38,15,1,1,0,0,1,0,0,0,0,0:01:21,Problem5,5,Experiment
Problem 5,A,S39,18,1,1,0,0,1,0,0,0,0,0:01:31,Problem5,6,experiment
Problem 5,A,S40,81,1,1,0,0,1,0,0,0,0,0:02:12,problem5,7,experiment
Problem 5,A,S41,42,1,1,0,0,1,0,0,0,0,0:02:21,Problem5,7,experiment
Problem 5,A,S42,127,6,1,0,0,1,4,1,0,0,0:11:19,Problem5,4,experiment
Problem 5,A,S43,60,1,7,0,0,1,0,0,1,0,0:09:39,problem5,7,experiment
Problem 5,A,S44,112,1,1,0,0,1,0,0,0,0,0:02:49,PROBLEM5,5,EXPERIMENT
Problem 5,A,S45,75,2,1,0,0,1,0,1,0,0,0:01:23,problem5,7,experimment
Problem 5,A,S46,88,2,1,0,0,1,0,1,1,0,0:05:59,Problem5,5,experiment
Problem 5,A,S47,692,1,5,0,0,1,0,0,1,0,0:13:20,problem5,7,experiment
Problem 5,A,S48,15,1,1,0,0,1,0,0,1,0,0:01:05,Problem5,7,experiment
Problem 5,A,S49,196,2,2,0,0,1,0,1,0,0,0:10:34,problem5,2,emperiment
Problem 5,A,S50,50,1,1,0,0,1,0,0,0,0,0:02:07,Problem5,7,experiment
Problem 5,A,S51,126,2,18,0,0,1,0,1,1,0,0:16:45,Problem5,7,experiment
Problem 5,A,S52,57,1,4,0,0,1,0,0,1,0,0:02:36,Problem5,5,experiment
